Fire_Lons,Fire_Lats
143.078,-15.356
143.048,-15.361
142.986,-15.37
142.955,-15.374
142.769,-15.401
142.753,-15.403
142.737,-15.405
142.674,-15.414
142.595,-15.425
142.451,-15.445
142.435,-15.448
142.174,-15.484
142.157,-15.486
142.141,-15.489
142.091,-15.495
142.074,-15.498
142.058,-15.5
142.041,-15.502
141.974,-15.512
141.957,-15.514
141.94,-15.516
141.923,-15.519
141.821,-15.533
141.7,-15.549
141.682,-15.552
141.665,-15.554
141.647,-15.557
141.63,-15.559
141.612,-15.561
141.595,-15.564
141.577,-15.566
141.56,-15.568
141.542,-15.571
141.524,-15.573
143.912,-15.222
143.809,-15.237
143.78,-15.241
143.765,-15.243
143.75,-15.245
143.736,-15.248
143.543,-15.276
143.122,-15.336
142.938,-15.362
142.798,-15.382
142.767,-15.387
142.72,-15.393
142.704,-15.395
142.593,-15.411
142.449,-15.431
142.352,-15.445
142.32,-15.449
142.139,-15.474
142.072,-15.484
142.039,-15.488
141.971,-15.497
141.938,-15.502
141.921,-15.504
141.904,-15.507
141.87,-15.511
141.818,-15.518
141.801,-15.521
141.767,-15.525
141.715,-15.532
141.698,-15.535
141.663,-15.54
141.61,-15.547
141.593,-15.549
141.575,-15.551
141.558,-15.554
141.54,-15.556
141.522,-15.559
143.939,-15.204
143.748,-15.232
143.497,-15.268
143.362,-15.288
143.196,-15.312
143.12,-15.322
142.702,-15.382
142.686,-15.384
142.591,-15.397
142.559,-15.402
142.527,-15.406
142.511,-15.408
142.495,-15.41
142.463,-15.415
142.382,-15.426
142.317,-15.435
142.137,-15.46
142.12,-15.462
142.037,-15.474
141.919,-15.49
141.902,-15.492
141.885,-15.495
141.868,-15.497
141.851,-15.499
141.833,-15.502
141.816,-15.504
141.713,-15.518
141.695,-15.52
141.678,-15.523
141.661,-15.525
141.643,-15.527
141.608,-15.532
141.591,-15.534
141.573,-15.537
141.555,-15.539
141.538,-15.542
143.746,-15.218
143.554,-15.246
143.539,-15.248
143.405,-15.268
142.934,-15.335
142.903,-15.339
142.762,-15.359
142.747,-15.361
142.715,-15.365
142.7,-15.368
142.38,-15.412
142.348,-15.417
142.315,-15.421
142.25,-15.43
142.151,-15.444
142.118,-15.448
141.78,-15.494
141.763,-15.496
141.745,-15.499
141.728,-15.501
141.711,-15.503
141.693,-15.506
141.676,-15.508
141.659,-15.51
141.641,-15.513
141.589,-15.52
141.571,-15.522
141.553,-15.524
141.536,-15.527
143.795,-15.2
143.781,-15.202
143.766,-15.204
143.485,-15.246
143.425,-15.254
143.381,-15.261
143.336,-15.267
143.305,-15.272
143.139,-15.296
142.986,-15.318
142.924,-15.327
142.909,-15.329
142.894,-15.332
142.738,-15.354
142.722,-15.356
142.675,-15.363
142.659,-15.365
142.388,-15.404
142.258,-15.423
142.159,-15.437
142.109,-15.444
142.093,-15.446
142.059,-15.451
141.857,-15.479
141.789,-15.489
141.771,-15.491
141.754,-15.494
141.737,-15.496
141.72,-15.499
141.685,-15.503
141.668,-15.506
141.65,-15.508
141.633,-15.511
141.615,-15.513
141.58,-15.518
141.563,-15.52
141.545,-15.523
144.431,-15.092
143.793,-15.186
143.764,-15.191
143.378,-15.247
143.363,-15.249
143.183,-15.276
143.137,-15.282
142.984,-15.304
142.938,-15.311
142.922,-15.313
142.736,-15.34
142.578,-15.363
142.386,-15.39
142.305,-15.402
142.256,-15.409
142.074,-15.434
141.973,-15.448
141.923,-15.455
141.906,-15.458
141.821,-15.47
141.804,-15.472
141.787,-15.474
141.769,-15.477
141.752,-15.479
141.735,-15.482
141.718,-15.484
141.7,-15.486
141.666,-15.491
141.648,-15.494
141.613,-15.499
141.578,-15.503
141.561,-15.506
141.543,-15.508
144.17,-15.117
143.835,-15.167
143.391,-15.231
142.997,-15.288
142.982,-15.291
142.92,-15.3
142.889,-15.304
142.827,-15.313
142.27,-15.392
142.253,-15.394
141.971,-15.434
141.921,-15.441
141.904,-15.443
141.819,-15.455
141.802,-15.458
141.784,-15.46
141.767,-15.462
141.75,-15.465
141.733,-15.467
141.698,-15.472
141.681,-15.474
141.663,-15.477
141.646,-15.479
141.629,-15.482
141.576,-15.489
141.558,-15.491
141.541,-15.494
141.523,-15.496
143.95,-15.136
143.833,-15.153
143.479,-15.205
143.464,-15.207
143.087,-15.262
142.995,-15.275
142.856,-15.295
142.778,-15.306
142.716,-15.315
142.478,-15.348
142.462,-15.351
142.446,-15.353
142.43,-15.355
142.414,-15.357
142.349,-15.366
142.317,-15.371
142.3,-15.373
142.268,-15.378
142.036,-15.41
142.02,-15.413
142.003,-15.415
141.799,-15.443
141.782,-15.445
141.765,-15.448
141.731,-15.453
141.696,-15.457
141.679,-15.46
141.661,-15.462
141.644,-15.465
